Date : 2026-04-09 04:31:30
Directory : c:\Users\kiria\Desktop\fullstack\shopping_mall
Total : 422 files,  55827 codes, 1189 comments, 4111 blanks, all 61127 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\cart\CartItemRow.tsx                            | TypeScript JSX     |         82 |          5 |         15 |        102 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\cart\page.tsx                                   | TypeScript JSX     |        117 |          5 |         20 |        142 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\checkout\complete\page.tsx                      | TypeScript JSX     |        132 |          9 |         23 |        164 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\checkout\page.tsx                               | TypeScript JSX     |        265 |         17 |         35 |        317 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\layout.tsx                                      | TypeScript JSX     |         20 |          0 |          2 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\cart\page.tsx                                | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\inquiries\page.tsx                           | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\layout.tsx                                   | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\orders\[orderNumber]\page.tsx                | TypeScript JSX     |        412 |         23 |         39 |        474 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\orders\page.tsx                              | TypeScript JSX     |        218 |         11 |         26 |        255 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\page.tsx                                     | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\password\page.tsx                            | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\reviews\page.tsx                             | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\seller-apply\page.tsx                        | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\my\wishlist\page.tsx                            | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\page.tsx                                        | TypeScript JSX     |         40 |          6 |          7 |         53 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\product\Products.tsx                            | TypeScript JSX     |         15 |          0 |          8 |         23 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\ProductsClient.tsx                     | TypeScript JSX     |        206 |          7 |         25 |        238 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\[id]\ProductDetailClient.tsx           | TypeScript JSX     |         38 |          6 |          8 |         52 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\[id]\ProductGallery.tsx                | TypeScript JSX     |         81 |          6 |         14 |        101 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\[id]\ProductInfo.tsx                   | TypeScript JSX     |        279 |         24 |         29 |        332 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\[id]\ProductTabs.tsx                   | TypeScript JSX     |        138 |          7 |         10 |        155 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\[id]\RelatedProducts.tsx               | TypeScript JSX     |         56 |          0 |          8 |         64 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\[id]\ReviewSection.tsx                 | TypeScript JSX     |         73 |          6 |         11 |         90 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\[id]\page.tsx                          | TypeScript JSX     |         54 |          3 |         10 |         67 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\products\page.tsx                               | TypeScript JSX     |         12 |          0 |          2 |         14 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\seller\inquiries\page.tsx                       | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\seller\layout.tsx                               | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\seller\orders\page.tsx                          | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\seller\page.tsx                                 | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\seller\products\new\page.tsx                    | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\seller\products\page.tsx                        | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\(main)\seller\settlements\page.tsx                     | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\api\hello\route.ts                                     | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\global.css                                             | PostCSS            |        411 |          0 |          3 |        414 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\layout.tsx                                             | TypeScript JSX     |         26 |          0 |          4 |         30 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\not-found.tsx                                          | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\app\page.module.css                                        | PostCSS            |          2 |          0 |          1 |          3 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\banner\Banner.tsx                               | TypeScript JSX     |        123 |         20 |         22 |        165 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\banner\BannerSection.tsx                        | TypeScript JSX     |         29 |          0 |          4 |         33 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Badge\Badge.tsx                          | TypeScript JSX     |         73 |          1 |          9 |         83 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Badge\index.ts                           | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Button\Button.tsx                        | TypeScript JSX     |         83 |          1 |          5 |         89 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Button\index.ts                          | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Card\Card.tsx                            | TypeScript JSX     |        137 |         10 |         12 |        159 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Card\index.ts                            | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Input\Input.tsx                          | TypeScript JSX     |         69 |          0 |          6 |         75 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Input\index.ts                           | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Modal\Modal.tsx                          | TypeScript JSX     |        118 |         13 |         16 |        147 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Modal\index.ts                           | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\SearchBar\CategorySelect.tsx             | TypeScript JSX     |         34 |          0 |          6 |         40 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\SearchBar\SearchBar.tsx                  | TypeScript JSX     |         20 |          0 |          3 |         23 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Select\Select.tsx                        | TypeScript JSX     |        107 |          3 |         10 |        120 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Select\index.ts                          | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Skeleton\Skeleton.tsx                    | TypeScript JSX     |         11 |          0 |          2 |         13 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Spinner\Spinner.tsx                      | TypeScript JSX     |         49 |          1 |          6 |         56 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Spinner\index.ts                         | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Textarea\Textarea.tsx                    | TypeScript JSX     |         88 |          2 |          7 |         97 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\Textarea\index.ts                        | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\common\index.ts                                 | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\footer\Footer.tsx                               | TypeScript JSX     |        132 |          9 |          9 |        150 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\forms\BaseForm.tsx                              | TypeScript JSX     |        239 |         16 |         32 |        287 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\forms\LoginForm.tsx                             | TypeScript JSX     |         96 |          1 |         16 |        113 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\forms\RegisterForm.tsx                          | TypeScript JSX     |        111 |          3 |         17 |        131 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\header\Header.tsx                               | TypeScript JSX     |         20 |          0 |          4 |         24 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\header\mainHeader\HomeCart.tsx                  | TypeScript JSX     |         25 |          0 |          5 |         30 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\header\mainHeader\MainHeader.tsx                | TypeScript JSX     |         23 |          0 |          4 |         27 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\header\navbar\Category.tsx                      | TypeScript JSX     |        129 |          7 |         18 |        154 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\header\navbar\CategoryBar.tsx                   | TypeScript JSX     |         31 |          1 |          8 |         40 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\header\navbar\Navbar.tsx                        | TypeScript JSX     |         52 |          1 |         12 |         65 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\header\navbar\NavbarButton.tsx                  | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\header\navbar\NavbarUserSection.tsx             | TypeScript JSX     |         47 |          7 |          9 |         63 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\header\navbar\SearchBar.tsx                     | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\header\topbar\LogIn.tsx                         | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\header\topbar\Topbar.tsx                        | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\header\topbar\UserMenu.tsx                      | TypeScript JSX     |         90 |          1 |          9 |        100 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\home\CategoryShortcuts.tsx                      | TypeScript JSX     |         44 |          1 |          7 |         52 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\home\CategoryTabSection.tsx                     | TypeScript JSX     |         98 |          2 |         15 |        115 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\home\ProductCard.tsx                            | TypeScript JSX     |         72 |          7 |         13 |         92 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\home\ProductSection.tsx                         | TypeScript JSX     |         54 |          1 |          8 |         63 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\home\SectionHeader.tsx                          | TypeScript JSX     |         27 |          2 |          3 |         32 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\icons\CartIcons.tsx                             | TypeScript JSX     |         20 |          0 |          4 |         24 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\icons\CategoryIcon.tsx                          | TypeScript JSX     |         21 |          0 |          5 |         26 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\components\layout\MaxWidthContainer.tsx                    | TypeScript JSX     |         12 |          0 |          4 |         16 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\contexts\AuthContext.tsx                                   | TypeScript JSX     |        104 |          8 |         20 |        132 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\hook\useAuthMutation.ts                                    | TypeScript         |         60 |         19 |         14 |         93 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\hook\useProduct.ts                                         | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\hooks\useCart.ts                                           | TypeScript         |         75 |         38 |         24 |        137 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\hooks\useCategories.ts                                     | TypeScript         |         20 |          2 |          7 |         29 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\hooks\useOrder.ts                                          | TypeScript         |         58 |         16 |         19 |         93 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\hooks\useWishlist.ts                                       | TypeScript         |         22 |         13 |          7 |         42 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\lib\axios\axios-http-client.ts                             | TypeScript         |        114 |         28 |         34 |        176 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\lib\category-icon-map.ts                                   | TypeScript         |         13 |          6 |          3 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\lib\react-query\cart-query-options.ts                      | TypeScript         |         15 |         10 |          3 |         28 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\lib\react-query\category-query-options.ts                  | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\lib\react-query\get-query-client.ts                        | TypeScript         |         26 |          0 |          4 |         30 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\lib\react-query\order-query-options.ts                     | TypeScript         |         25 |          0 |          4 |         29 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\lib\react-query\products-query-options.ts                  | TypeScript         |         29 |          0 |          1 |         30 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\model\cart.ts                                              | TypeScript         |         26 |          0 |          3 |         29 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\model\order.ts                                             | TypeScript         |        100 |         11 |         18 |        129 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\model\paginate-param.ts                                    | TypeScript         |         29 |          0 |         11 |         40 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\model\product.ts                                           | TypeScript         |         66 |          1 |          8 |         75 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\providers\reactQuery-provider.tsx                          | TypeScript JSX     |         16 |          0 |          5 |         21 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\service\auth-channel.ts                                    | TypeScript         |         20 |          0 |          3 |         23 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\service\auth-storage.ts                                    | TypeScript         |         65 |          4 |         18 |         87 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\service\auth.ts                                            | TypeScript         |         27 |          1 |          9 |         37 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\service\cart.ts                                            | TypeScript         |         16 |          4 |          6 |         26 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\service\category.ts                                        | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\service\order.ts                                           | TypeScript         |         20 |          0 |          6 |         26 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\service\payment.ts                                         | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\service\products.ts                                        | TypeScript         |         43 |          0 |          9 |         52 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\src\service\wishlist.ts                                        | TypeScript         |          7 |          6 |          2 |         15 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\tailwind.config.js                                             | JavaScript         |         54 |          3 |          1 |         58 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\tsconfig.json                                                  | JSON with Comments |         58 |          0 |          1 |         59 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\frontend\tsconfig.spec.json                                             | JSON               |         27 |          0 |          1 |         28 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\jest.config.ts                                                          | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\jest.preset.js                                                          | JavaScript         |          2 |          0 |          2 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\mocks\.spec.swcrc                                                       | JSON with Comments |         22 |          0 |          1 |         23 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\mocks\README.md                                                         | Markdown           |          6 |          0 |          6 |         12 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\mocks\eslint.config.mjs                                                 | JavaScript         |         21 |          0 |          2 |         23 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\mocks\jest.config.ts                                                    | TypeScript         |         15 |          3 |          4 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\mocks\package.json                                                      | JSON               |         22 |          0 |          1 |         23 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\mocks\src\index.ts                                                      | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\mocks\src\lib\beauty\beauty.ts                                          | TypeScript         |      1,039 |          0 |          3 |      1,042 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\mocks\src\lib\book\book.ts                                              | TypeScript         |      2,264 |          1 |          2 |      2,267 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\mocks\src\lib\clothing\clothing.ts                                      | TypeScript         |      1,190 |          0 |          3 |      1,193 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\mocks\src\lib\food\food.ts                                              | TypeScript         |      1,055 |          0 |          3 |      1,058 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\mocks\src\lib\index.ts                                                  | TypeScript         |          6 |          0 |          0 |          6 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\mocks\src\lib\livingProduct\livingProduct.ts                            | TypeScript         |      1,401 |          0 |          2 |      1,403 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\mocks\src\lib\shoes\shoes.ts                                            | TypeScript         |      1,020 |          0 |          4 |      1,024 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\mocks\tsconfig.json                                                     | JSON with Comments |         16 |          0 |          1 |         17 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\mocks\tsconfig.lib.json                                                 | JSON               |         18 |          1 |          1 |         20 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\mocks\tsconfig.spec.json                                                | JSON               |         19 |          0 |          1 |         20 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\nx.json                                                                 | JSON               |         86 |          0 |          1 |         87 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\package-lock.json                                                       | JSON               |     25,531 |          0 |          1 |     25,532 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\package.json                                                            | JSON               |        125 |          0 |          1 |        126 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\.spec.swcrc                                                      | JSON with Comments |         22 |          0 |          1 |         23 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\README.md                                                        | Markdown           |          6 |          0 |          6 |         12 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\eslint.config.mjs                                                | JavaScript         |         21 |          0 |          2 |         23 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\jest.config.ts                                                   | TypeScript         |         15 |          3 |          4 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\package.json                                                     | JSON               |         21 |          0 |          1 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\index.ts                                                     | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\index.ts                                                 | TypeScript         |          1 |          0 |          0 |          1 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\auth\index.ts                                      | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\auth\login.ts                                      | TypeScript         |         16 |          8 |          2 |         26 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\auth\register.ts                                   | TypeScript         |         10 |          7 |          2 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\base.model.ts                                      | TypeScript         |          5 |          0 |          0 |          5 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\cart\cart.ts                                       | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\cart\index.ts                                      | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\index.ts                                           | TypeScript         |         10 |          0 |          0 |         10 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\inquiry\index.ts                                   | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\inquiry\inquiry.ts                                 | TypeScript         |         31 |          0 |          6 |         37 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\order\index.ts                                     | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\order\order.ts                                     | TypeScript         |         47 |          0 |          7 |         54 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\order\shipment.ts                                  | TypeScript         |         16 |          0 |          4 |         20 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\product\categories\beauty.ts                       | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\product\categories\book.ts                         | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\product\categories\clothing.ts                     | TypeScript         |         22 |          0 |          5 |         27 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\product\categories\food.ts                         | TypeScript         |         10 |          0 |          1 |         11 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\product\categories\livingProduct.ts                | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\product\categories\shoes.ts                        | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\product\categories\sports.ts                       | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\product\category.ts                                | TypeScript         |        120 |          3 |          6 |        129 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\product\index.ts                                   | TypeScript         |          8 |          0 |          0 |          8 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\product\product.dto.ts                             | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\product\product.ts                                 | TypeScript         |         35 |          0 |          6 |         41 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\review\index.ts                                    | TypeScript         |          1 |          0 |          0 |          1 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\review\review.ts                                   | TypeScript         |         27 |          0 |          5 |         32 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\settlement\index.ts                                | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\settlement\settlement.ts                           | TypeScript         |         27 |          0 |          4 |         31 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\user\index.ts                                      | TypeScript         |          1 |          0 |          0 |          1 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\user\user.ts                                       | TypeScript         |         28 |          0 |          6 |         34 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\wishList\index.ts                                  | TypeScript         |          1 |          0 |          0 |          1 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\src\lib\types\wishList\wishList.ts                               | TypeScript         |         15 |          1 |          5 |         21 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\tsconfig.json                                                    | JSON with Comments |         13 |          0 |          1 |         14 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\tsconfig.lib.json                                                | JSON               |         14 |          1 |          1 |         16 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\shared\tsconfig.spec.json                                               | JSON               |         19 |          0 |          1 |         20 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\start-logging.ps1                                                       | PowerShell         |         15 |          5 |          6 |         26 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\stop-logging.ps1                                                        | PowerShell         |         16 |          6 |          7 |         29 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\tsconfig.base.json                                                      | JSON               |         29 |          0 |          1 |         30 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\tsconfig.json                                                           | JSON with Comments |         22 |          0 |          1 |         23 |
| Total                                                                                                                  |                    |     55,827 |      1,189 |      4,111 |     61,127 |
+------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
